Rank,City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
"54","Utrecht, Netherlands","74.76","31.60","54.02","61.64","82.19","118.63"
"84","Malmo, Sweden","68.72","24.49","47.47","64.85","64.82","143.85"
"75","Bergamo, Italy","70.66","18.85","45.76","57.61","77.85","109.27"
"103","Aachen, Germany","61.88","21.31","42.38","50.92","56.63","149.09"
"122","Tallinn, Estonia","50.52","15.53","33.71","39.48","48.13","78.76"
"117","Malaga, Spain","51.90","17.10","35.17","43.63","47.25","101.91"
"4","Zug, Switzerland","123.44","63.29","94.53","122.64","117.97","211.31"
"163","Sarajevo, Bosnia And Herzegovina","35.97","7.93","22.50","30.24","27.26","58.85"
"56","Cork, Ireland","74.09","31.64","53.69","66.14","76.90","137.15"
"36","Helsinki, Finland","79.61","36.32","58.81","70.25","86.45","129.76"
"41","Nice, France","78.16","25.28","52.74","65.96","84.99","125.76"
"185","Pristina, Kosovo (Disputed Territory)","27.43","8.53","18.35","24.21","20.46","66.18"
"167","Tirana, Albania","35.62","9.19","22.92","28.01","30.16","41.16"
"5","Bern, Switzerland","121.64","50.71","87.55","122.63","118.26","178.08"
"176","Oradea, Romania","33.06","5.53","19.83","29.70","21.05","48.51"
"52","Plymouth, United Kingdom","74.79","28.18","52.39","63.15","72.59","134.32"
"144","Brno, Czech Republic","41.65","13.18","27.97","36.67","27.42","93.74"
"44","Cardiff, United Kingdom","76.96","29.68","54.24","64.06","82.94","155.62"
"181","Nis, Serbia","29.11","4.59","17.33","22.41","23.45","44.65"
"91","Trieste, Italy","67.71","17.13","43.40","57.92","79.37","118.24"
"89","Padova, Italy","68.12","20.28","45.13","56.99","70.71","97.41"
"29","Paris, France","81.61","45.98","64.49","77.34","80.31","112.52"
"101","Palermo, Italy","62.46","16.10","40.18","53.40","58.06","77.88"
"118","Santa Cruz De Tenerife, Spain","51.74","14.60","33.89","43.76","44.91","93.42"
"174","Novi Sad, Serbia","33.24","5.37","19.84","26.82","23.16","56.05"
