manudir,manudir-href,City,Hours
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Copenhagen, Denmark","188"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Dublin, Ireland","158"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Barcelona, Spain","146"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Kazan, Russia","291"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Dublin, Ireland","159"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Kazan, Russia","282"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Dublin, Ireland","109"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Amsterdam, Netherlands","1662"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Glasgow, United Kingdom","149"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Brussels, Belgium","114"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Andorra la Vella, Andorra","205"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Berlin, Germany","222"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Barcelona, Spain","2524"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Chisinau, Moldova","75"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Belgrade, Serbia","2112"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","İstanbul, Turkey","288"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Berlin, Germany","221"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Birmingham, United Kingdom","57"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Belgrade, Serbia","163"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Dublin, Ireland","1424"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Birmingham, United Kingdom","1364"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Berlin, Germany","156"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Belgrade, Serbia","102"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Helsinki, Finland","143"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","İstanbul, Turkey","143"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Athens, Greece","152"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Belgrade, Serbia","153"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Dublin, Ireland","129"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Andorra la Vella, Andorra","119"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Cologne, Germany","186"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Budapest, Hungary","234"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Bucharest, Romania","2112"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Barcelona, Spain","262"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Cologne, Germany","112"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Chisinau, Moldova","169"
