manudir,manudir-href,City,Hours
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Skopje, Macedonia","87"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Vienna, Austria","1930"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Zurich, Switzerland","50"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Vienna, Austria","251"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Skopje, Macedonia","198"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Sarajevo, Bosnia & Herzegovina","57"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Skopje, Macedonia","323"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Vilnius, Lithuania","1588"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Rotterdam, Netherlands","197"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Rostov-on-Don, Russia","38"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Sofia, Bulgaria","216"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Sarajevo, Bosnia & Herzegovina","149"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Riga, Latvia","287"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Vaduz, Liechtenstein","91"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Reykjavík, Iceland","140"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Saint Petersburg, Russia","54"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Riga, Latvia","126"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Skopje, Macedonia","245"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Valletta, Malta","183"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Sarajevo, Bosnia & Herzegovina","187"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Stockholm, Sweden","221"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Sofia, Bulgaria","242"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Reykjavík, Iceland","125"
