manudir,manudir-href,City,High,Low
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Bratislava, Slovakia","25","13"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Budapest, Hungary","2","-3"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Budapest, Hungary","16","8"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Bucharest, Romania","17","6"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Helsinki, Finland","9","3"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Belgrade, Serbia","29","18"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Bratislava, Slovakia","15","6"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Belgrade, Serbia","18","9"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Kiev, Ukraine","0","-5"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Dublin, Ireland","20","12"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Andorra la Vella, Andorra","11","1"
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Amsterdam, Netherlands","20","11"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Belgrade, Serbia","24","13"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Barcelona, Spain","20","11"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","Dublin, Ireland","17","10"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Barcelona, Spain","16","7"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","İstanbul, Turkey","26","18"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Andorra la Vella, Andorra","16","5"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Budapest, Hungary","9","3"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Kiev, Ukraine","21","11"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Chisinau, Moldova","26","15"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Belgrade, Serbia","6","0"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Hamburg, Germany","13","5"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Hamburg, Germany","12","3"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Kiev, Ukraine","4","-2"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Bratislava, Slovakia","27","15"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Kiev, Ukraine","5","0"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Kazan, Russia","-1","-6"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Birmingham, United Kingdom","14","6"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Budapest, Hungary","17","7"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Brussels, Belgium","7","1"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Budapest, Hungary","22","12"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Kazan, Russia","7","1"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Hamburg, Germany","8","2"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Glasgow, United Kingdom","7","1"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Copenhagen, Denmark","3","-2"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Cologne, Germany","5","-1"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Hamburg, Germany","4","-1"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Birmingham, United Kingdom","22","12"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Athens, Greece","32","23"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","Copenhagen, Denmark","17","10"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Chisinau, Moldova","2","-4"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","İstanbul, Turkey","10","4"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Chisinau, Moldova","16","6"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","İstanbul, Turkey","11","6"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Brussels, Belgium","10","3"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","Chisinau, Moldova","22","11"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Budapest, Hungary","27","16"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Bucharest, Romania","10","2"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Chisinau, Moldova","3","-3"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Cologne, Germany","24","12"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Athens, Greece","14","7"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Dublin, Ireland","8","2"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Dublin, Ireland","12","5"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Amsterdam, Netherlands","22","13"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","Kiev, Ukraine","19","10"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Helsinki, Finland","3","-2"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Birmingham, United Kingdom","10","3"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Amsterdam, Netherlands","14","5"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Berlin, Germany","13","6"
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Cologne, Germany","21","11"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Birmingham, United Kingdom","10","4"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Bratislava, Slovakia","16","5"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Belgrade, Serbia","5","-1"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Copenhagen, Denmark","16","7"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Belgrade, Serbia","29","18"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Helsinki, Finland","9","0"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Chisinau, Moldova","14","6"
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Brussels, Belgium","21","12"
