manudir,manudir-href,City,High,Low
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Paris, France","25","16"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Lyon, France","27","16"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Lyon, France","11","4"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Monaco, Monaco","14","6"
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Monaco, Monaco","24","18"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Madrid, Spain","10","4"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Naples, Italy","16","6"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Moscow, Russia","-6","-12"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Podgorica, Montenegro","32","20"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Leeds, United Kingdom","11","3"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Moscow, Russia","-4","-11"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Lille, France","15","7"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Prague, Czech Republic","6","0"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Paris, France","20","11"
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Milan, Italy","26","15"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Podgorica, Montenegro","10","1"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Lisbon, Portugal","18","12"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Lille, France","6","2"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Podgorica, Montenegro","19","9"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Nice, France","21","14"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Lyon, France","8","1"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Munich, Germany","23","12"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","Leeds, United Kingdom","16","9"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","London, United Kingdom","20","11"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Nice, France","20","12"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Oslo, Norway","-1","-6"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Naples, Italy","14","6"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Podgorica, Montenegro","24","14"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Milan, Italy","18","8"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Ljubljana, Slovenia","15","6"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Ljubljana, Slovenia","11","1"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Manchester, United Kingdom","20","12"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Nizhny & Novgorod, Russia","24","14"
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Moscow, Russia","22","12"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Ljubljana, Slovenia","27","15"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Nice, France","27","20"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Minsk, Belarus","10","3"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Madrid, Spain","13","6"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Luxembourg, Luxembourg","8","1"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Nizhny & Novgorod, Russia","22","13"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Nice, France","13","5"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Prague, Czech Republic","23","12"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Manchester, United Kingdom","10","3"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","London, United Kingdom","11","6"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Leeds, United Kingdom","12","6"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Ljubljana, Slovenia","26","14"
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","London, United Kingdom","21","12"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Pristina, Kosovo","10","1"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Milan, Italy","14","4"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Lisbon, Portugal","28","18"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Prague, Czech Republic","8","-1"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Naples, Italy","13","4"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Madrid, Spain","18","7"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","Manchester, United Kingdom","18","10"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Prague, Czech Republic","3","-4"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Moscow, Russia","23","14"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Pristina, Kosovo","4","-3"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Nizhny & Novgorod, Russia","7","1"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","London, United Kingdom","16","9"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Munich, Germany","3","-4"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Oslo, Norway","20","11"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Munich, Germany","4","-2"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Naples, Italy","18","8"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Minsk, Belarus","-4","-10"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","London, United Kingdom","18","9"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Nice, France","17","9"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Monaco, Monaco","13","6"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Nizhny & Novgorod, Russia","10","2"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Podgorica, Montenegro","22","12"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Podgorica, Montenegro","32","20"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","Monaco, Monaco","25","17"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Manchester, United Kingdom","14","7"
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Nizhny & Novgorod, Russia","22","12"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Minsk, Belarus","18","8"
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Pristina, Kosovo","24","11"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Nizhny & Novgorod, Russia","-6","-13"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Milan, Italy","6","0"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Paris, France","11","6"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Oslo, Norway","16","7"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Moscow, Russia","9","1"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Minsk, Belarus","-2","-6"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Minsk, Belarus","3","-1"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Monaco, Monaco","27","20"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Moscow, Russia","-4","-9"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Lille, France","23","14"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Manchester, United Kingdom","7","2"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Prague, Czech Republic","13","4"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Marseille, France","30","19"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Munich, Germany","13","5"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Luxembourg, Luxembourg","13","6"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","Lyon, France","23","13"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","London, United Kingdom","23","14"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Paris, France","16","9"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Manchester, United Kingdom","7","2"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","Nizhny & Novgorod, Russia","15","7"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Lyon, France","21","11"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Leeds, United Kingdom","19","11"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Pristina, Kosovo","6","-3"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Monaco, Monaco","13","5"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Leeds, United Kingdom","8","2"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Munich, Germany","4","-3"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Munich, Germany","9","0"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Lille, France","7","1"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Monaco, Monaco","21","14"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Prague, Czech Republic","13","2"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Nizhny & Novgorod, Russia","-5","-11"
