manudir,manudir-href,City,High,Low
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Vilnius, Lithuania","-2","-8"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Sarajevo, Bosnia & Herzegovina","15","5"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Ufa, Russia","26","14"
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Skopje, Macedonia","27","14"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Tirana, Albania","24","12"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Vilnius, Lithuania","10","2"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","San Marino, San Marino","22","11"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Tallinn, Estonia","0","-5"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Skopje, Macedonia","5","-3"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Vilnius, Lithuania","-4","-9"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Riga, Latvia","-2","-7"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Rotterdam, Netherlands","22","13"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Rostov-on-Don, Russia","14","5"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Vienna, Austria","10","2"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Reykjavík, Iceland","6","0"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Turin, Italy","27","17"
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Vienna, Austria","24","14"
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Zurich, Switzerland","23","11"
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Stockholm, Sweden","21","11"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Samara, Russia","-9","-16"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","San Marino, San Marino","19","10"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Skopje, Macedonia","8","-1"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Riga, Latvia","0","-5"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Stockholm, Sweden","22","13"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","San Marino, San Marino","29","18"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Sarajevo, Bosnia & Herzegovina","20","9"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","Zurich, Switzerland","20","9"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Saint Petersburg, Russia","8","2"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Warsaw, Poland","-1","-6"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Valletta, Malta","31","22"
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Turin, Italy","25","14"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Samara, Russia","26","16"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Reykjavík, Iceland","3","-1"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Zagreb, Croatia","26","14"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Skopje, Macedonia","12","3"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Vilnius, Lithuania","18","8"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Riga, Latvia","21","12"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Rotterdam, Netherlands","22","13"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Vaduz, Liechtenstein","16","7"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Sofia, Bulgaria","2","-5"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","San Marino, San Marino","17","7"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Riga, Latvia","11","4"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Rostov-on-Don, Russia","-1","-7"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Turin, Italy","17","7"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Vilnius, Lithuania","3","-4"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Valletta, Malta","19","12"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Valletta, Malta","24","17"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Skopje, Macedonia","23","11"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Rotterdam, Netherlands","10","3"
