manudir,manudir-href,City,Hours
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Moscow, Russia","170"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Ljubljana, Slovenia","128"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Minsk, Belarus","237"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Minsk, Belarus","128"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Naples, Italy","115"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Minsk, Belarus","166"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Nice, France","267"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Pristina, Kosovo","143"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Munich, Germany","128"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Odessa, Ukraine","80"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Lisbon, Portugal","235"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Luxembourg, Luxembourg","43"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Munich, Germany","129"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Pristina, Kosovo","228"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Luxembourg, Luxembourg","206"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Prague, Czech Republic","121"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Pristina, Kosovo","2123"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Lille, France","172"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Pristina, Kosovo","97"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Luxembourg, Luxembourg","164"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Lyon, France","74"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Luxembourg, Luxembourg","118"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Madrid, Spain","214"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Monaco, Monaco","224"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Naples, Italy","189"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Manchester, United Kingdom","173"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Lyon, France","130"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Monaco, Monaco","242"
