manudir,manudir-href,Days,City,Milli­metres
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","5","Marseille, France","41"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","10","Nizhny & Novgorod, Russia","72"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","11","Manchester, United Kingdom","66"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","11","Paris, France","58"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","10","Naples, Italy","112"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","5","Madrid, Spain","26"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","5","Milan, Italy","67"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","11","Leeds, United Kingdom","73"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","8","Moscow, Russia","51"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","9","Lyon, France","47"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","6","Milan, Italy","62"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","7","Nice, France","133"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","9","Oslo, Norway","49"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","9","Ljubljana, Slovenia","87"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","61","Nice, France","733"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","13","Manchester, United Kingdom","72"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","10","Paris, France","63"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","5","Monaco, Monaco","45"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","7","Lyon, France","64"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","11","Oslo, Norway","89"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","2","Naples, Italy","29"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","9","Minsk, Belarus","34"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","11","Lille, France","58"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","3","Lisbon, Portugal","29"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","11","Oslo, Norway","90"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","6","Odessa, Ukraine","42"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","6","Odessa, Ukraine","41"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","8","Paris, France","48"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","7","Nice, France","69"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","129","Munich, Germany","967"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","11","Oslo, Norway","81"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","10","London, United Kingdom","40"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","7","Prague, Czech Republic","40"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","11","Manchester, United Kingdom","72"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","12","Leeds, United Kingdom","77"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","87","Naples, Italy","1008"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","6","Marseille, France","56"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","6","Naples, Italy","59"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","8","Milan, Italy","67"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","8","Podgorica, Montenegro","89"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","8","Oslo, Norway","53"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","5","Nice, France","45"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","8","Oslo, Norway","36"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","12","Manchester, United Kingdom","61"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","5","Marseille, France","31"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","13","Lille, France","70"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","13","Pristina, Kosovo","68"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","10","Luxembourg, Luxembourg","75"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","3","Marseille, France","25"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","1","Marseille, France","9"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","9","Lille, France","63"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","2","Monaco, Monaco","12"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","6","Monaco, Monaco","93"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","4","Naples, Italy","36"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","9","Minsk, Belarus","42"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","14","Manchester, United Kingdom","82"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","11","Munich, Germany","111"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","8","Paris, France","62"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","10","Podgorica, Montenegro","192"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","9","Lyon, France","55"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","11","Paris, France","48"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","12","Munich, Germany","93"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","7","London, United Kingdom","47"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","8","Lisbon, Portugal","80"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","10","Moscow, Russia","59"
