manudir,manudir-href,Days,City,Milli­metres
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","4","Skopje, Macedonia","32"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","7","Stockholm, Sweden","27"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","8","Vienna, Austria","51"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","8","Sarajevo, Bosnia & Herzegovina","71"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","2","Rome, Italy","21"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","15","Reykjavík, Iceland","86"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","6","San Marino, San Marino","61"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","6","Valletta, Malta","23"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","11","Valletta, Malta","61"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","10","Zurich, Switzerland","74"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","10","Vilnius, Lithuania","41"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","11","Vilnius, Lithuania","78"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","125","Zurich, Switzerland","1048"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","6","San Marino, San Marino","45"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","7","San Marino, San Marino","53"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","9","Samara, Russia","52"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","11","Zurich, Switzerland","115"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","7","Turin, Italy","106"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","8","Zagreb, Croatia","86"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","8","Riga, Latvia","39"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","12","Riga, Latvia","60"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","10","Reykjavík, Iceland","44"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","4","Turin, Italy","47"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","4","Turin, Italy","45"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","12","Tallinn, Estonia","51"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","7","Warsaw, Poland","26"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","10","Saint Petersburg, Russia","38"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","7","San Marino, San Marino","67"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","7","Skopje, Macedonia","58"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","10","Reykjavík, Iceland","52"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","7","Sofia, Bulgaria","56"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","9","Vilnius, Lithuania","38"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","9","Saint Petersburg, Russia","58"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","10","Rotterdam, Netherlands","58"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","10","Sarajevo, Bosnia & Herzegovina","71"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","7","Samara, Russia","45"
